ID,VID,PLID,Type,LinkID
345,547,37,3,10434
346,548,37,1,10434
347,549,37,2,10434
348,550,37,3,10434
349,551,38,1,108434
350,552,38,2,108434
351,553,38,3,108434
352,554,38,1,107851
353,555,38,2,107851
354,556,38,3,107851
355,557,38,1,58761
356,558,38,2,58761
357,559,38,3,58761
358,560,38,1,58761
359,561,38,2,58761
360,562,38,3,58761
361,563,39,1,8892
362,564,39,2,8892
363,565,39,3,8892
364,566,39,1,9310
365,567,39,2,9310
366,568,39,3,9310
367,569,39,1,29762
368,570,39,2,29762
369,571,39,3,29762
370,572,39,1,29762
371,573,39,2,29762
372,574,39,3,29762
373,575,40,1,8150
374,576,40,2,8150
375,577,40,3,8150
376,578,40,1,7503
377,579,40,2,7503
378,580,40,3,7503
379,581,40,1,19380
380,582,40,2,19380
381,583,40,3,19380
382,584,40,1,19380
383,585,40,2,19380
384,586,40,3,19380
385,587,41,1,8505
386,588,41,2,8505
387,589,41,3,8505
388,590,41,1,8613
389,591,41,2,8613
390,592,41,3,8613
391,593,41,1,2060
392,594,41,2,2060
393,595,41,3,2060
394,596,41,1,2060
395,597,41,2,2060
396,598,41,3,2060
397,599,42,1,35796
398,600,42,2,35796
399,601,42,3,35796
400,602,42,1,7655
401,603,42,2,7655
402,604,42,3,7655
403,605,42,1,7317
404,606,42,2,7317
405,607,42,3,7317
406,608,42,1,7317
407,609,42,2,7317
408,610,42,3,7317
409,611,43,1,36608
410,612,43,2,36608
411,613,43,3,36608
412,614,43,1,48337
413,615,43,2,48337
414,616,43,3,48337
415,617,43,1,39754
416,618,43,2,39754
417,619,43,3,39754
418,620,43,1,39754
419,621,43,2,39754
420,622,43,3,39754
421,623,44,1,7192
422,624,44,2,7192
423,625,44,3,7192
424,626,44,1,7796
425,627,44,2,7796
426,628,44,3,7796
427,629,44,1,29108
428,630,44,2,29108
429,631,44,3,29108
430,632,44,1,29108
431,633,44,2,29108
432,634,44,3,29108
433,635,45,1,29248
434,636,45,2,29248
