ID,LID,Width,Color,type,LinkID
314,540,0.15,W,0,29733
315,541,0.15,W,0,32930
316,542,0.15,W,0,32841
317,543,0.15,W,0,16305
318,544,0.15,W,0,16394
319,545,0.15,W,0,34112
320,546,0.15,W,0,34157
321,547,0.15,W,0,34558
322,548,0.15,W,0,34513
323,549,0.15,W,0,19500
324,550,0.15,W,0,19455
325,551,0.15,W,0,2000
326,552,0.15,W,0,2044
327,553,0.15,W,0,7382
328,554,0.15,W,0,7450
329,555,0.15,W,0,8196
330,556,0.15,W,0,8291
331,557,0.15,W,0,8530
332,558,0.15,W,0,8573
333,559,0.15,W,0,29528
334,560,0.15,W,0,29571
335,981,0.15,W,0,109433
336,982,0.15,W,0,111217
337,983,0.15,W,0,111984
338,984,0.15,W,0,112049
339,985,0.15,W,0,112133
340,986,0.15,W,0,112215
341,987,0.15,W,0,112285
342,988,0.15,W,0,112370
343,989,0.15,W,0,112439
344,990,0.15,W,0,112479
345,991,0.15,W,0,112525
346,992,0.15,W,0,112595
347,993,0.15,W,0,110202
348,994,0.15,W,0,110263
349,995,0.15,W,0,151988
350,996,0.15,W,0,152053
351,997,0.15,W,0,152137
352,998,0.15,W,0,152219
353,999,0.15,W,0,152288
354,1000,0.15,W,0,152373
355,1001,0.15,W,0,152443
356,1002,0.15,W,0,152483
357,1003,0.15,W,0,152529
358,1004,0.15,W,0,152598
359,1005,0.15,W,0,34175
360,1006,0.15,W,0,27001
361,1007,0.15,W,0,23734
362,1008,0.15,W,0,26874
363,1009,0.15,W,0,27009
364,1010,0.15,W,0,8589
365,1011,0.15,W,0,27377
366,1012,0.15,W,0,21816
367,1013,0.15,W,0,23104
368,1014,0.15,W,0,24282
369,1015,0.15,W,0,23531
370,1016,0.15,W,0,23734
371,1017,0.15,W,0,23104
372,1018,0.15,W,0,26874
373,1019,0.15,W,0,25072
374,1020,0.15,W,0,27377
375,1021,0.15,W,0,5676
376,1022,0.15,W,0,5676
377,1023,0.15,W,0,22934
378,1024,0.15,W,0,22625
379,1025,0.15,W,0,22934
380,1026,0.15,W,0,2331
381,1027,0.15,W,0,24282
382,1028,0.15,W,0,22625
383,1029,0.15,W,0,22625
384,1030,0.15,W,0,27844
385,1031,0.15,W,0,22569
386,1032,0.15,W,0,27826
387,1033,0.15,W,0,27844
388,1034,0.15,W,0,27826
389,1035,0.15,W,0,21901
390,1036,0.15,W,0,25072
391,1037,0.15,W,0,21816
392,1038,0.15,W,0,21901
393,1039,0.15,W,0,21782
394,1040,0.15,W,0,22084
395,1041,0.15,W,0,29607
396,1042,0.15,W,0,21782
397,1043,0.15,W,0,8589
398,1044,0.15,W,0,22242
399,1045,0.15,W,0,30990
400,1046,0.15,W,0,2331
401,1047,0.15,W,0,19842
402,1048,0.15,W,0,33451
403,1049,0.15,W,0,33850
404,1050,0.15,W,0,23531
405,1051,0.15,W,0,33850
406,1052,0.15,W,0,34217
407,1053,0.15,W,0,34917
408,1054,0.15,W,0,34217
409,1055,0.15,W,0,23750
410,1056,0.15,W,0,27001
411,1057,0.15,W,0,34917
412,1058,0.15,W,0,27009
413,1059,0.15,W,0,29983
414,1060,0.15,W,0,29607
415,1061,0.15,W,0,22242
416,1062,0.15,W,0,31313
417,1063,0.15,W,0,31711
418,1064,0.15,W,0,30990
