VID,PID,Hang,Vang
135,161928,0,0
136,161929,0,0
137,161930,0,0
138,161931,0,0
139,161932,0,0
140,161933,0,0
141,161934,0,0
142,161935,0,0
143,161936,0,0
144,161937,0,0
145,161938,0,0
146,161939,0,0
147,161940,0,0
148,161941,0,0
149,161942,0,0
150,161943,0,0
151,161944,0,0
152,161945,0,0
153,161946,0,0
154,161947,0,0
155,161948,0,0
156,161949,0,0
157,161950,0,0
158,161951,0,0
159,161952,0,0
160,161953,0,0
161,161954,0,0
162,161955,0,0
163,161956,0,0
164,161957,0,0
165,161958,0,0
166,161959,0,0
167,161960,0,0
168,161961,0,0
169,161962,0,0
170,161963,0,0
171,161964,0,0
172,161965,0,0
173,161966,0,0
174,161967,0,0
175,161968,0,0
176,161969,0,0
177,161970,0,0
178,161971,0,0
179,161972,0,0
180,161973,0,0
181,161974,0,0
182,161975,0,0
183,161976,0,0
184,161977,0,0
185,161978,0,0
186,161979,0,0
187,161980,0,0
188,161981,0,0
189,161982,0,0
190,161983,0,0
191,161984,0,0
192,161985,0,0
193,161986,0,0
194,161987,0,0
195,161988,0,0
196,161989,0,0
197,161990,0,0
198,161991,0,0
199,161992,0,0
200,161993,0,0
201,161994,0,0
202,161995,-179.878067016602,90.0051498413086
203,161996,-179.878067016602,90.0051498413086
204,161997,-179.878067016602,90.0051498413086
205,161998,-179.878067016602,90.0051498413086
206,161999,-179.878067016602,90.0051498413086
207,162000,-179.878067016602,90.0051498413086
208,162001,-154.95654296875,90.0046615600586
209,162002,-154.95654296875,90.0046615600586
210,162003,-154.95654296875,90.0046615600586
211,162004,-154.95654296875,90.0046615600586
212,162005,-154.95654296875,90.0046615600586
213,162006,-154.95654296875,90.0046615600586
214,162007,-90,90.0182495117188
215,162008,-90,90.0182495117188
216,162009,-90,90.0182495117188
217,162010,-90,90.0182495117188
218,162011,-90,90.0182495117188
219,162012,-90,90.0182495117188
220,162013,-66.0137023925781,90.0166702270508
221,162014,-66.0137023925781,90.0166702270508
222,162015,-66.0137023925781,90.0166702270508
223,162016,-66.0137023925781,90.0166702270508
224,162017,-66.0137023925781,90.0166702270508
225,162018,-66.0137023925781,90.0166702270508
226,162019,-0.0948727875947952,90.01220703125
227,162020,-0.0948727875947952,90.01220703125
228,162021,-0.0948727875947952,90.01220703125
229,162022,-0.0948727875947952,90.01220703125
230,162023,-0.0948727875947952,90.01220703125
231,162024,-0.0948727875947952,90.01220703125
232,162025,24.9398155212402,90.0110702514648
233,162026,24.9398155212402,90.0110702514648
234,162027,24.9398155212402,90.0110702514648
235,162028,24.9398155212402,90.0110702514648
236,162029,24.9398155212402,90.0110702514648
237,162030,24.9398155212402,90.0110702514648
238,162031,-90,89.9970855712891
239,162032,-90,89.9970855712891
240,162033,-90,89.9970855712891
241,162034,-90,89.9970855712891
242,162035,-90,89.9970855712891
243,162036,-90,89.9970855712891
244,162037,-65.3390960693359,89.9973526000977
245,162038,-65.3390960693359,89.9973526000977
246,162039,-65.3390960693359,89.9973526000977
247,162040,-65.3390960693359,89.9973526000977
248,162041,-65.3390960693359,89.9973526000977
249,162042,-65.3390960693359,89.9973526000977
250,162043,0,89.9808120727539
251,162044,0,89.9808120727539
252,162045,0,89.9808120727539
253,162046,0,89.9808120727539
254,162047,0,89.9808120727539
255,162048,0,89.9808120727539
256,162049,25.2191143035889,89.9826431274414
257,162050,25.2191143035889,89.9826431274414
258,162051,25.2191143035889,89.9826431274414
259,162052,25.2191143035889,89.9826431274414
260,162053,25.2191143035889,89.9826431274414
261,162054,25.2191143035889,89.9826431274414
262,162055,90,89.9928131103516
263,162056,90,89.9928131103516
264,162057,90,89.9928131103516
265,162058,90,89.9928131103516
266,162059,90,89.9928131103516
267,162060,90,89.9928131103516
268,162061,114.545097351074,89.9934539794922
269,162062,114.545097351074,89.9934539794922
270,162063,114.545097351074,89.9934539794922
271,162064,114.545097351074,89.9934539794922
272,162065,114.545097351074,89.9934539794922
