PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
28,0,0,10.1931667327881,-33.2003707885742,-130.667724609375,7,0,0,0
29,0,0,10.1931667327881,-34.2001991271973,-130.649291992188,7,0,0,0
30,0,0,10.1931667327881,-35.2000274658203,-130.630859375,7,0,0,0
31,0,0,10.1931667327881,-36.1998596191406,-130.612426757813,7,0,0,0
32,0,0,10.1931667327881,-37.1996917724609,-130.593994140625,7,0,0,0
33,0,0,10.1931667327881,-38.1995239257813,-130.575561523438,7,0,0,0
34,0,0,10.1931667327881,-39.1993560791016,-130.55712890625,7,0,0,0
35,0,0,10.1931667327881,-40.1991882324219,-130.538696289063,7,0,0,0
36,0,0,10.1931667327881,-41.1990165710449,-130.520263671875,7,0,0,0
37,0,0,10.1931667327881,-42.198844909668,-130.501831054688,7,0,0,0
38,0,0,10.1931667327881,-43.1986770629883,-130.4833984375,7,0,0,0
39,0,0,10.1931667327881,-44.1985054016113,-130.464981079102,7,0,0,0
40,0,0,10.1931667327881,-45.1983337402344,-130.446548461914,7,0,0,0
41,0,0,10.1931667327881,-46.1981658935547,-130.428131103516,7,0,0,0
42,0,0,10.1931667327881,-47.1979942321777,-130.409698486328,7,0,0,0
43,0,0,10.1931667327881,-48.1978225708008,-130.39128112793,7,0,0,0
44,0,0,10.1931667327881,-49.1976509094238,-130.372848510742,7,0,0,0
45,0,0,10.1931667327881,-50.1974830627441,-130.354431152344,7,0,0,0
46,0,0,10.1931667327881,-51.1973152160645,-130.335998535156,7,0,0,0
47,0,0,10.1931667327881,-52.1971473693848,-130.317581176758,7,0,0,0
48,0,0,10.1931667327881,-53.1969795227051,-130.29914855957,7,0,0,0
49,0,0,10.1931667327881,-54.1968078613281,-130.280731201172,7,0,0,0
50,0,0,10.1931667327881,-55.1966361999512,-130.262298583984,7,0,0,0
51,0,0,10.1931667327881,-56.1964645385742,-130.243881225586,7,0,0,0
52,0,0,10.1931667327881,-57.1962928771973,-130.225448608398,7,0,0,0
53,0,0,10.1931667327881,-58.1961212158203,-130.20703125,7,0,0,0
54,0,0,10.1931667327881,-59.1959533691406,-130.188598632813,7,0,0,0
55,0,0,10.1931667327881,-60.1957855224609,-130.170181274414,7,0,0,0
56,0,0,10.1931667327881,-61.1956176757813,-130.151748657227,7,0,0,0
57,0,0,10.1931667327881,-62.1954498291016,-130.133331298828,7,0,0,0
58,0,0,10.1931667327881,-63.1952819824219,-130.114898681641,7,0,0,0
59,0,0,10.1931667327881,-64.1951141357422,-130.096481323242,7,0,0,0
60,0,0,10.1931667327881,-65.1949462890625,-130.078048706055,7,0,0,0
61,0,0,10.1931667327881,-66.1947784423828,-130.059631347656,7,0,0,0
62,0,0,10.1931667327881,-67.1946105957031,-130.041198730469,7,0,0,0
63,0,0,10.1931667327881,-68.1944427490234,-130.02278137207,7,0,0,0
64,0,0,10.1931667327881,-69.1942749023438,-130.004348754883,7,0,0,0
65,0,0,10.1931667327881,-70.1941070556641,-129.985931396484,7,0,0,0
66,0,0,10.1931667327881,-71.1939392089844,-129.967498779297,7,0,0,0
67,0,0,10.1931667327881,-72.1937713623047,-129.949081420898,7,0,0,0
68,0,0,10.1931667327881,-73.1933212280273,-129.919784545898,7,0,0,0
69,0,0,10.1931667327881,-74.1927719116211,-129.886596679688,7,0,0,0
70,0,0,10.1931667327881,-75.1922225952148,-129.853408813477,7,0,0,0
71,0,0,10.1931667327881,-76.1916732788086,-129.820220947266,7,0,0,0
72,0,0,10.1931667327881,-77.1911239624023,-129.787033081055,7,0,0,0
73,0,0,10.1931667327881,-78.1905746459961,-129.753845214844,7,0,0,0
74,0,0,10.1931667327881,-79.1900253295898,-129.720657348633,7,0,0,0
75,0,0,10.1931667327881,-80.1894760131836,-129.687469482422,7,0,0,0
76,0,0,10.1931667327881,-81.1889266967773,-129.654281616211,7,0,0,0
77,0,0,10.1931667327881,-82.1883773803711,-129.62109375,7,0,0,0
78,0,0,10.1931667327881,-83.1878280639648,-129.587905883789,7,0,0,0
79,0,0,10.1931667327881,-84.1872787475586,-129.554718017578,7,0,0,0
80,0,0,10.1931667327881,-85.1867294311523,-129.521530151367,7,0,0,0
81,0,0,10.1931667327881,-86.1861801147461,-129.488342285156,7,0,0,0
