ID,LID,TLID,SignID,LinkID
347,347,0,0,88902
348,348,0,0,26142
349,349,0,0,27083
350,350,0,0,27083
351,351,0,0,27159
352,352,0,0,28548
353,353,0,0,91484
354,354,0,0,32522
355,355,0,0,92309
356,356,0,0,31311
357,357,0,0,90598
358,358,0,0,89577
359,359,0,0,27259
360,360,0,0,28652
361,361,0,0,88788
362,362,0,0,88788
363,363,0,0,28813
364,364,0,0,88660
365,365,0,0,29542
366,366,0,0,89359
367,367,0,0,26888
368,368,0,0,26461
369,369,0,0,91125
370,370,0,0,34192
371,371,0,0,76423
372,372,0,0,31383
373,373,0,0,31937
374,374,0,0,31937
375,375,0,0,91995
376,376,0,0,31641
377,377,0,0,34018
378,378,0,0,34092
379,379,0,0,76323
380,380,0,0,86930
381,381,0,0,90761
382,382,0,0,29124
383,383,0,0,28914
384,384,0,0,90894
385,385,0,0,24970
386,386,0,0,18328
387,387,0,0,83045
388,388,0,0,21225
389,389,0,0,33949
390,390,0,0,33949
391,391,0,0,34746
392,392,0,0,86764
393,393,0,0,32975
394,394,0,0,92526
395,395,0,0,33135
396,396,0,0,33793
397,397,0,0,31787
398,398,0,0,32058
399,399,0,0,32776
400,400,0,0,32776
401,401,0,0,36607
402,402,0,0,36530
403,403,0,0,36530
404,404,0,0,36110
405,405,0,0,36212
406,406,0,0,36422
407,407,0,0,93214
408,408,0,0,36811
409,409,0,0,68401
410,410,0,0,73662
411,411,0,0,74171
412,412,0,0,77644
413,413,0,0,37656
414,414,0,0,37581
415,415,0,0,37581
416,416,0,0,36918
417,417,0,0,37152
418,418,0,0,37479
419,419,0,0,93900
420,420,0,0,38005
421,421,0,0,38998
422,422,0,0,39133
423,423,0,0,78307
424,424,0,0,67670
425,425,0,0,38665
426,426,0,0,38139
427,427,0,0,38340
428,428,0,0,38860
429,429,0,0,39325
430,430,0,0,39325
431,431,0,0,67515
432,432,0,0,78981
433,433,0,0,38530
434,434,0,0,39919
435,435,0,0,40109
436,436,0,0,40307
437,437,0,0,79379
438,438,0,0,13181
439,439,0,0,13649
440,440,0,0,67246
441,441,0,0,40503
442,442,0,0,42102
443,443,0,0,43694
444,444,0,0,43694
445,445,0,0,40688
446,446,0,0,42287
447,447,0,0,94611
448,448,0,0,44293
449,449,0,0,40967
450,450,0,0,42559
451,451,0,0,94877
452,452,0,0,44553
453,453,0,0,95619
454,454,0,0,44995
455,455,0,0,46709
456,456,0,0,96396
457,457,0,0,45913
458,458,0,0,45913
459,459,0,0,46432
460,460,0,0,47537
461,461,0,0,98264
462,462,0,0,98264
463,463,0,0,66016
464,464,0,0,66016
465,465,0,0,80968
466,466,0,0,16050
467,467,0,0,1681
468,468,0,0,65836
469,469,0,0,97796
470,470,0,0,53636
471,471,0,0,96916
472,472,0,0,47637
473,473,0,0,97690
474,474,0,0,53530
475,475,0,0,56574
476,476,0,0,56574
477,477,0,0,102765
478,478,0,0,102765
479,479,0,0,56453
480,480,0,0,102395
481,481,0,0,65274
482,482,0,0,108946
483,483,0,0,65111
484,484,0,0,65111
485,485,0,0,48104
486,486,0,0,109151
487,487,0,0,28449
488,488,0,0,98032
489,489,0,0,49479
490,490,0,0,48789
491,491,0,0,43506
492,492,0,0,41914
493,493,0,0,96049
494,494,0,0,45436
495,495,0,0,43007
496,496,0,0,41415
497,497,0,0,48291
498,498,0,0,48985
499,499,0,0,53711
500,500,0,0,53711
501,501,0,0,50962
502,502,0,0,50962
503,503,0,0,53765
504,504,0,0,99567
505,505,0,0,54727
506,506,0,0,54727
507,507,0,0,55495
508,508,0,0,100602
509,509,0,0,100983
510,510,0,0,55302
511,511,0,0,100000
512,512,0,0,99806
513,513,0,0,55063
514,514,0,0,54979
515,515,0,0,55545
516,516,0,0,55545
517,517,0,0,100191
518,518,0,0,54889
519,519,0,0,105080
520,520,0,0,20877
521,521,0,0,64834
522,522,0,0,104943
523,523,0,0,57823
524,524,0,0,57188
525,525,0,0,51527
526,526,0,0,99458
527,527,0,0,56993
528,528,0,0,57629
529,529,0,0,53094
530,530,0,0,52579
531,531,0,0,51995
532,532,0,0,51718
533,533,0,0,52098
534,534,0,0,51826
535,535,0,0,53202
536,536,0,0,52676
537,537,0,0,59924
538,538,0,0,56149
539,539,0,0,56250
540,540,0,0,56357
541,541,0,0,52788
542,542,0,0,52788
543,543,0,0,58550
544,544,0,0,58550
545,545,0,0,102982
546,546,0,0,103395
547,547,0,0,56655
548,548,0,0,57295
549,549,0,0,58030
550,550,0,0,58030
551,551,0,0,58205
552,552,0,0,102624
553,553,0,0,108760
554,554,0,0,108760
555,555,0,0,64610
556,556,0,0,64540
557,557,0,0,60635
558,558,0,0,105528
559,559,0,0,58385
560,560,0,0,58385
561,561,0,0,60111
562,562,0,0,60111
563,563,0,0,100760
564,564,0,0,101348
565,565,0,0,55637
566,566,0,0,101217
567,567,0,0,58721
568,568,0,0,58721
569,569,0,0,58804
570,570,0,0,20763
571,571,0,0,64720
572,572,0,0,58913
573,573,0,0,52278
574,574,0,0,102264
575,575,0,0,59732
576,576,0,0,104375
577,577,0,0,61347
578,578,0,0,61347
579,579,0,0,106842
580,580,0,0,106842
581,581,0,0,59109
582,582,0,0,59109
583,583,0,0,55748
584,584,0,0,59002
585,585,0,0,59249
586,586,0,0,101555
587,587,0,0,59183
588,588,0,0,59183
589,589,0,0,60993
590,590,0,0,60993
591,591,0,0,90181
592,592,0,0,60802
593,593,0,0,104829
594,594,0,0,104181
595,595,0,0,108030
596,596,0,0,108227
597,597,0,0,100409
598,598,0,0,100293
599,599,0,0,62326
600,600,0,0,62236
601,601,0,0,105332
602,602,0,0,60273
603,603,0,0,63009
604,604,0,0,63177
605,605,0,0,61981
606,606,0,0,107279
607,607,0,0,62414
608,608,0,0,62495
609,609,0,0,62054
610,610,0,0,62054
611,611,0,0,61815
612,612,0,0,61815
613,613,0,0,63515
614,614,0,0,89991
615,615,0,0,63343
616,616,0,0,63343
617,617,0,0,63891
618,618,0,0,63782
619,619,0,0,82537
620,620,0,0,63707
621,621,0,0,64469
622,622,0,0,64469
623,623,0,0,27478
624,624,0,0,64385
625,625,0,0,54069
626,626,0,0,54069
627,627,0,0,64155
628,628,0,0,64155
629,629,0,0,61513
630,630,0,0,61697
631,631,0,0,62663
632,632,0,0,62837
633,633,0,0,64296
634,634,0,0,25775
635,635,0,0,107440
636,636,0,0,63971
637,637,0,0,53978
638,638,0,0,107817
639,639,0,0,105939
640,640,0,0,28059
641,641,0,0,90375
642,642,0,0,90375
643,643,0,0,64953
644,644,0,0,20557
645,645,0,0,15586
646,646,0,0,81321
