ID,LID,TLID,SignID,LinkID
117,14633,0,0,9316
118,14634,0,0,9316
119,14667,0,0,69373
120,14668,0,0,73250
121,14669,0,0,9431
122,14670,0,0,9431
123,14671,0,0,9513
124,14672,0,0,9513
125,14673,0,0,10215
126,14674,0,0,10825
127,14703,0,0,36715
128,14704,0,0,94236
129,14705,0,0,66754
130,14706,0,0,66891
131,14707,0,0,10954
132,14708,0,0,11320
133,14709,0,0,11199
134,14710,0,0,11078
135,14821,0,0,11734
136,14822,0,0,11734
137,14823,0,0,12329
138,14824,0,0,12329
139,14825,0,0,11572
140,14826,0,0,11572
141,14827,0,0,66464
142,14828,0,0,66464
143,14896,0,0,38320
144,14897,0,0,38320
145,14898,0,0,12637
146,14899,0,0,12637
147,14900,0,0,80126
148,14901,0,0,80126
149,14934,0,0,12963
150,14935,0,0,13152
151,14936,0,0,14078
152,14937,0,0,14078
153,14938,0,0,14252
154,14939,0,0,14252
155,14940,0,0,45783
156,14941,0,0,80635
157,14971,0,0,43444
158,14972,0,0,96446
159,14973,0,0,97230
160,14974,0,0,97230
161,14975,0,0,96739
162,14976,0,0,96739
163,14977,0,0,96739
164,14978,0,0,65073
165,15047,0,0,15310
166,15048,0,0,15310
167,15049,0,0,64828
168,15050,0,0,64828
169,15051,0,0,14890
170,15052,0,0,14890
171,15053,0,0,15144
172,15054,0,0,15144
173,15095,0,0,17574
174,15096,0,0,17574
175,15097,0,0,1897
176,15098,0,0,70891
177,15099,0,0,15724
178,15100,0,0,16004
179,15101,0,0,17102
180,15102,0,0,17102
181,15148,0,0,64119
182,15149,0,0,64306
183,15150,0,0,46647
184,15151,0,0,46647
185,15152,0,0,17181
186,15153,0,0,17181
187,15154,0,0,16391
188,15155,0,0,81614
189,15198,0,0,105492
190,15199,0,0,54872
191,15200,0,0,18120
192,15201,0,0,18120
193,15298,0,0,344
194,15299,0,0,344
195,15300,0,0,62528
196,15301,0,0,62528
197,15302,0,0,18827
198,15303,0,0,18827
199,15304,0,0,18985
200,15305,0,0,18985
201,15365,0,0,20795
202,15366,0,0,20795
203,15367,0,0,60950
204,15368,0,0,60950
205,15369,0,0,82305
206,15370,0,0,82305
207,15371,0,0,18666
208,15372,0,0,18666
209,15391,0,0,20156
210,15392,0,0,20156
211,15393,0,0,20156
212,15394,0,0,19726
213,15427,0,0,19652
214,15428,0,0,84092
215,15429,0,0,7709
216,15430,0,0,7709
217,15431,0,0,2518
218,15432,0,0,2518
219,15433,0,0,8710
220,15434,0,0,9221
221,15471,0,0,22796
222,15472,0,0,21264
223,15473,0,0,24853
224,15474,0,0,24853
225,15475,0,0,20959
226,15476,0,0,83766
227,15477,0,0,19830
228,15478,0,0,19830
229,15515,0,0,84848
230,15516,0,0,76744
231,15517,0,0,21371
232,15518,0,0,21371
233,15519,0,0,85208
234,15520,0,0,85208
235,15521,0,0,22586
236,15522,0,0,85652
237,15558,0,0,87819
238,15559,0,0,85389
239,15560,0,0,21672
240,15561,0,0,21672
241,15562,0,0,24425
242,15563,0,0,33208
243,15564,0,0,92510
244,15565,0,0,92510
245,15602,0,0,22296
246,15603,0,0,86098
247,15604,0,0,21560
248,15605,0,0,21560
249,15606,0,0,76247
250,15607,0,0,9905
251,15608,0,0,21755
252,15609,0,0,21755
253,15639,0,0,88098
254,15640,0,0,85912
255,15641,0,0,23219
256,15642,0,0,23219
257,15643,0,0,23219
258,15644,0,0,23008
259,15675,0,0,21835
260,15676,0,0,86230
261,15677,0,0,35693
