-14964.908000,-84753.776000,41.614000,40.000000
-14965.536000,-84754.151000,41.619000,40.000000
-14966.394000,-84754.665000,41.626000,40.000000
-14967.251000,-84755.180000,41.637000,40.000000
-14968.107000,-84755.697000,41.656000,40.000000
-14968.962000,-84756.216000,41.679000,40.000000
-14969.815000,-84756.737000,41.704000,40.000000
-14970.668000,-84757.259000,41.708000,40.000000
-14971.520000,-84757.783000,41.722000,40.000000
-14972.370000,-84758.309000,41.737000,40.000000
-14973.172000,-84758.807000,41.753000,40.000000
-14973.220000,-84758.837000,41.754000,40.000000
-14974.068000,-84759.366000,41.773000,40.000000
-14974.914000,-84759.899000,41.792000,40.000000
-14975.759000,-84760.435000,41.810000,40.000000
-14976.601000,-84760.974000,41.828000,40.000000
-14977.442000,-84761.516000,41.843000,40.000000
-14978.280000,-84762.060000,41.857000,40.000000
-14979.117000,-84762.608000,41.869000,40.000000
-14979.952000,-84763.158000,41.878000,40.000000
-14980.785000,-84763.712000,41.886000,40.000000
-14981.616000,-84764.268000,41.894000,40.000000
-14982.445000,-84764.827000,41.902000,40.000000
-14983.272000,-84765.390000,41.909000,40.000000
-14984.097000,-84765.955000,41.914000,40.000000
-14984.920000,-84766.523000,41.918000,40.000000
-14985.741000,-84767.094000,41.922000,40.000000
-14986.560000,-84767.667000,41.924000,40.000000
-14987.377000,-84768.244000,41.925000,40.000000
-14988.192000,-84768.823000,41.926000,40.000000
-14989.005000,-84769.406000,41.927000,40.000000
-14989.816000,-84769.991000,41.927000,40.000000
-14990.625000,-84770.579000,41.926000,40.000000
-14991.432000,-84771.170000,41.921000,40.000000
-14992.236000,-84771.763000,41.916000,40.000000
-14993.039000,-84772.360000,41.909000,40.000000
-14993.839000,-84772.959000,41.903000,40.000000
-14994.638000,-84773.561000,41.896000,40.000000
-14995.434000,-84774.166000,41.890000,40.000000
-14996.228000,-84774.773000,41.882000,40.000000
-14997.021000,-84775.384000,41.872000,40.000000
-14997.810000,-84775.997000,41.861000,40.000000
-14998.598000,-84776.613000,41.847000,40.000000
-14999.384000,-84777.232000,41.834000,40.000000
-15000.167000,-84777.853000,41.822000,40.000000
-15000.949000,-84778.478000,41.810000,40.000000
-15001.728000,-84779.104000,41.798000,40.000000
-15002.504000,-84779.734000,41.783000,40.000000
-15003.279000,-84780.367000,41.766000,40.000000
-15004.051000,-84781.002000,41.748000,40.000000
-15004.822000,-84781.639000,41.730000,40.000000
-15005.590000,-84782.280000,41.713000,40.000000
-15006.355000,-84782.923000,41.696000,40.000000
-15007.119000,-84783.569000,41.680000,40.000000
-15007.880000,-84784.218000,41.663000,40.000000
-15008.639000,-84784.869000,41.646000,40.000000
-15009.395000,-84785.523000,41.628000,40.000000
-15010.150000,-84786.179000,41.610000,40.000000
-15010.902000,-84786.838000,41.592000,40.000000
-15011.651000,-84787.500000,41.574000,40.000000
-15012.399000,-84788.165000,41.555000,40.000000
-15013.144000,-84788.832000,41.536000,40.000000
-15013.886000,-84789.501000,41.516000,40.000000
-15014.627000,-84790.174000,41.495000,40.000000
-15015.365000,-84790.848000,41.473000,40.000000
-15016.100000,-84791.526000,41.451000,40.000000
-15016.834000,-84792.206000,41.429000,40.000000
-15017.564000,-84792.888000,41.406000,40.000000
-15018.293000,-84793.573000,41.383000,40.000000
-15019.019000,-84794.261000,41.359000,40.000000
-15019.743000,-84794.951000,41.335000,40.000000
-15020.464000,-84795.644000,41.311000,40.000000
-15021.182000,-84796.339000,41.286000,40.000000
-15021.899000,-84797.037000,41.261000,40.000000
-15022.613000,-84797.737000,41.236000,40.000000
-15023.324000,-84798.440000,41.209000,40.000000
-15024.033000,-84799.145000,41.182000,40.000000
-15024.739000,-84799.853000,41.155000,40.000000
-15025.443000,-84800.563000,41.125000,40.000000
