x,y,z,yaw,velocity,change_flag
98.8604,7.7615,-0.0001,-0.2414,31.9557,0
100.7192,7.3101,-0.0001,-0.2419,28.5324,0
102.0753,7.0466,-0.0003,0.0255,22.7935,0
103.6670,7.0097,-0.0001,0.1058,30.7395,0
105.6075,7.2179,0.0009,-0.3035,33.0894,0
106.4627,6.5969,-0.0001,-1.0355,24.3224,0
107.4218,4.9624,-0.0002,-1.0092,30.0633,0
108.1602,3.8200,-0.0002,-0.9502,32.5514,0
109.0785,2.7033,-0.0001,-0.6922,35.3452,0
110.5144,1.4447,-0.0001,-0.7138,5.2569,0
111.6033,0.3556,-0.0003,-0.8762,16.6059,0
112.4975,-0.6855,-0.0001,-0.8707,6.0264,0
113.7701,-2.4821,-0.0003,-1.3847,36.5228,0
114.1504,-3.7923,-0.0002,-1.6074,39.6279,0
114.1560,-4.9882,-0.0001,-1.6046,35.4783,0
114.0911,-6.9581,-0.0001,-1.5988,27.4912,0
114.0447,-8.3162,-0.0003,-1.5925,7.6238,0
114.0169,-9.6079,-0.0001,-1.5873,19.9276,0
113.9965,-11.5557,-0.0001,-1.5884,31.9314,0
113.9835,-12.9930,-0.0001,-1.5873,18.1780,0
113.9705,-14.2792,-0.0001,-1.5864,36.1547,0
113.9556,-16.1736,-0.0001,-1.5850,23.5617,0
113.9482,-17.5187,-0.0000,-1.5859,34.2118,0
113.9352,-19.4794,-0.0001,-1.5851,33.5859,0
113.9278,-20.6901,-0.0001,-1.5843,34.0756,0
113.9185,-22.0537,-0.0001,-1.5833,13.2224,0
113.9093,-23.9462,-0.0001,-1.5819,21.9247,0
113.9056,-25.2895,-0.0001,-1.5833,28.4453,0
113.8981,-27.2538,-0.0001,-1.5817,31.0949,0
113.8926,-28.5401,-0.0001,-1.5808,21.8817,0
113.8889,-29.9018,-0.0001,-1.5798,18.9328,0
113.8851,-31.7777,-0.0001,-1.5792,27.7247,0
113.8870,-33.1358,-0.0001,-1.5794,22.4427,0
113.8851,-35.0264,-0.0001,-1.5781,30.7835,0
113.8851,-36.3126,-0.0001,-1.5771,12.6123,0
113.8870,-37.7518,-0.0001,-1.5761,20.1678,0
113.8907,-39.6424,-0.0001,-1.5748,33.7367,0
113.9018,-41.0742,-0.0003,-1.5664,23.0287,0
114.0039,-42.4950,-0.0001,-1.3626,27.1544,0
114.6328,-44.5220,-0.0002,-0.6991,12.8530,0
115.4713,-45.4452,-0.0001,-0.3052,32.3954,0
116.5120,-45.8653,-0.0003,0.0477,11.8137,0
118.3134,-45.8137,-0.0001,0.0821,33.2581,0
119.6713,-45.6976,-0.0000,0.0837,18.2778,0
121.7472,-45.2922,-0.0000,0.6788,41.7650,0
122.7898,-44.6233,-0.0001,0.8388,35.1876,0
123.7415,-43.5656,-0.0001,1.0795,15.7443,0
124.5856,-41.9127,-0.0001,1.3317,34.1363,0
124.9362,-40.6062,-0.0001,1.3318,32.3636,0
125.3573,-38.6934,-0.0002,1.5275,36.1433,0
125.4297,-37.3040,-0.0002,1.9540,16.2275,0
125.0178,-36.0473,-0.0001,2.0056,38.3162,0
124.2480,-34.3207,-0.0001,2.0162,19.2850,0
123.6896,-33.1561,-0.0002,2.0136,25.7741,0
123.0328,-31.3594,-0.0002,1.8432,21.5159,0
122.6562,-30.0363,-0.0001,1.8429,29.6843,0
122.2797,-28.1181,-0.0001,1.7037,21.8870,0
122.1572,-26.7600,-0.0001,1.4875,7.7633,0
122.3093,-24.8380,-0.0002,1.4510,16.4451,0
122.4763,-23.4062,-0.0001,1.4583,21.0900,0
122.6173,-22.2048,-0.0001,1.4644,35.7330,0
122.7824,-20.1796,-0.0002,1.6405,14.1075,0
122.7230,-18.8750,-0.0001,1.6671,16.0011,0
122.6080,-17.5206,-0.0002,1.6588,16.2229,0
122.5858,-15.6797,-0.0002,1.5600,33.5804,0
122.6080,-14.4045,-0.0000,1.5596,8.6909,0
122.6154,-12.4439,-0.0001,1.5601,29.1463,0
122.6210,-11.0803,-0.0001,1.5611,23.5096,0
122.6266,-9.0367,-0.0001,1.5626,46.6923,0
122.6266,-7.8260,-0.0001,1.5634,51.7678,0
122.6284,-6.4624,-0.0001,1.5644,28.3653,0
122.6266,-4.4944,-0.0001,1.5658,12.2572,0
122.6247,-3.2082,-0.0001,1.5667,28.4984,0
122.6191,-1.8464,-0.0001,1.5677,20.0854,0
122.6136,0.1898,-0.0002,1.5725,25.0163,0
122.6154,1.4005,-0.0001,1.5789,25.0458,0
122.6043,3.4385,-0.0002,1.5892,13.6246,0
122.5895,4.6492,-0.0002,1.5954,20.2612,0
122.5598,6.0146,-0.0001,1.5975,20.6546,0
122.5041,7.9108,-0.0001,1.5987,23.0465,0
122.4596,9.1970,-0.0001,1.5995,30.6740,0
122.4114,10.5588,-0.0001,1.6005,24.1993,0
122.3353,12.6005,-0.0001,1.6020,34.6172,0
122.2852,13.8867,-0.0001,1.6029,28.4731,0
122.2054,15.8308,-0.0001,1.6047,30.4728,0
122.2073,17.0673,-0.0001,1.5257,10.1571,0
122.2778,18.4272,-0.0001,1.5309,24.5465,0
122.3613,20.3897,-0.0002,1.5415,28.6834,0
122.4132,21.7515,-0.0001,1.5487,16.4821,0
122.4615,23.5647,-0.0002,1.5570,34.4615,0
122.4819,24.9246,-0.0002,1.5636,34.2782,0
122.4948,26.2956,-0.0001,1.5627,35.9471,0
122.5004,27.6592,-0.0001,1.5636,22.9405,0
122.3706,29.6217,-0.0002,1.8621,28.6597,0
121.9995,31.0148,-0.0001,1.8777,17.5470,0
121.3280,32.8594,-0.0002,1.9586,8.9450,0
120.8642,33.9834,-0.0001,1.9591,25.9220,0
120.2613,35.3950,-0.0001,2.0232,18.0805,0
119.2057,37.0258,-0.0001,2.6202,11.7093,0
118.1668,37.7076,-0.0002,2.7608,12.7655,0
116.7050,38.2199,0.0001,-3.0885,32.7102,0
114.7144,38.1683,-0.0002,-3.0342,13.8309,0
113.3453,38.0227,-0.0001,-3.0337,18.8899,0
112.0467,37.8955,-0.0003,-3.0755,6.8604,0
109.9949,37.9158,-0.0001,3.0901,36.6658,0
108.7019,37.9840,-0.0001,3.0973,23.3874,0
107.4107,38.0503,-0.0002,3.1034,10.5505,0
105.4072,38.1130,-0.0002,-3.1181,13.2636,0
103.9898,38.0153,-0.0001,-2.8055,21.6973,0
102.4556,37.5307,0.0001,-2.6962,11.8640,0
100.7823,36.4877,-0.0001,-2.2932,25.8004,0
99.9085,35.5627,-0.0001,-2.2937,37.0626,0
98.9995,34.5344,-0.0001,-2.2625,6.7143,0
97.8419,32.6880,-0.0000,-1.6513,34.0573,0
97.6471,31.4000,-0.0001,-1.6217,26.9237,0
97.5506,30.0400,-0.0001,-1.6309,43.4849,0
97.3577,28.6285,-0.0001,-1.8765,36.5256,0
96.7659,26.7121,-0.0001,-1.8954,31.0347,0
96.3096,25.3466,-0.0001,-1.8945,27.9724,0
95.7716,23.9351,-0.0001,-2.1385,35.9959,0
94.5490,22.1974,-0.0002,-2.3287,23.3722,0
93.6122,21.1894,-0.0002,-2.3299,36.9711,0
92.6735,20.1612,-0.0003,-2.2447,31.8656,0
91.7960,19.0961,-0.0003,-2.2415,16.4917,0
90.2173,17.6275,-0.0001,-2.9278,13.9255,0
88.8816,17.2165,-0.0002,2.9915,14.9480,0
87.7221,17.3363,-0.0001,2.9841,35.7238,0
85.6926,17.6182,-0.0002,3.0313,9.7864,0
84.3365,17.7049,-0.0001,-3.0712,18.8897,0
82.9674,17.6496,-0.0001,-3.0675,16.4014,0
80.9898,17.5077,-0.0001,-3.0666,29.8113,0
79.6226,17.3971,-0.0001,-3.0657,39.0175,0
77.6487,17.2350,-0.0001,-3.0643,28.6466,0
76.2833,17.1207,-0.0001,-3.0633,33.3511,0
74.9161,17.0046,-0.0001,-3.0624,36.6652,0
73.5489,16.8867,-0.0001,-3.0614,26.7375,0
71.5954,16.7356,-0.0001,-3.0591,26.6828,0
70.0779,16.6011,-0.0001,-3.0581,29.1510,0
68.7867,16.4850,-0.0001,-3.0572,23.0434,0
66.8147,16.3062,-0.0001,-3.0558,14.8088,0
65.3733,16.1717,-0.0001,-3.0547,30.5213,0
64.0079,16.0446,-0.0001,-3.0538,38.0416,0
62.0080,15.8363,-0.0002,-2.9459,31.6478,0
60.7465,15.5599,-0.0001,-2.7484,21.9732,0
59.3274,15.0274,-0.0002,-2.7427,29.0578,0
58.0046,14.4727,-0.0001,-2.7469,33.1388,0
56.1143,13.6140,-0.0003,-2.4631,38.4195,0
54.9047,12.6779,-0.0003,-2.1216,22.0127,0
54.1664,11.5465,-0.0001,-1.9043,39.0132,0
53.6488,10.1958,-0.0001,-1.8000,26.8467,0
53.1980,8.3604,-0.0001,-1.7996,14.5155,0
52.8752,6.9581,-0.0001,-1.7986,22.9007,0
52.4578,5.1117,-0.0001,-1.7973,24.7916,0
52.1721,3.6209,-0.0001,-1.5137,41.4565,0
52.1888,2.3587,-0.0001,-1.2486,11.8592,0
52.5895,1.0375,-0.0001,-1.2204,36.2298,0
53.1535,-0.9232,-0.0001,-1.4579,24.4174,0
53.3427,-2.3532,-0.0002,-1.4603,34.1516,0
53.4633,-3.6136,-0.0001,-1.5362,6.4876,0
53.4429,-5.5613,-0.0003,-1.6213,25.4680,0
53.3835,-6.6596,-0.0001,-1.6556,4.8853,0
53.0013,-8.4507,-0.0002,-2.0107,33.3340,0
52.5153,-9.5342,-0.0002,-2.0211,27.7808,0
51.8159,-10.9107,-0.0001,-2.0925,31.3907,0
50.3448,-12.7258,0.0000,-2.8957,23.0050,0
49.2892,-13.1349,-0.0001,-2.9953,12.7240,0
47.7810,-13.3505,-0.0001,-3.0928,4.2608,0
46.4861,-13.4021,-0.0001,-3.1160,14.8006,0
44.4324,-13.4500,-0.0001,-3.1103,34.4641,0
43.0893,-13.5422,-0.0001,-2.8831,35.1260,0
