PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
32,0,0,-2.00342512130737,6.71508312225342,13.4064331054688,7,0,0,0
33,0,0,-1.99679255485535,6.96992254257202,12.4394721984863,7,0,0,0
34,0,0,-1.99015998840332,7.22476196289063,11.4725112915039,7,0,0,0
35,0,0,-1.983527302742,7.47960138320923,10.5055503845215,7,0,0,0
36,0,0,-1.97689473628998,7.73444080352783,9.53858947753906,7,0,0,0
37,0,0,-1.97026205062866,7.98928022384644,8.57162857055664,7,0,0,0
38,0,0,-1.96362948417664,8.24411964416504,7.60466766357422,7,0,0,0
39,0,0,-1.95699679851532,8.49895858764648,6.6377067565918,7,0,0,0
40,0,0,-1.950364112854,8.75379848480225,5.67074632644653,7,0,0,0
41,0,0,-1.94373154640198,9.00863838195801,4.70378589630127,7,0,0,0
42,0,0,-1.93709886074066,9.26347732543945,3.73682522773743,7,0,0,0
43,0,0,-1.93046629428864,9.5183162689209,2.76986455917358,7,0,0,0
44,0,0,-1.92383360862732,9.77315616607666,1.80290389060974,7,0,0,0
45,0,0,-1.91720104217529,10.0279960632324,0.835943281650543,7,0,0,0
46,0,0,-1.91056835651398,10.2828350067139,-0.1310173869133,7,0,0,0
47,0,0,-1.90393579006195,10.5376739501953,-1.09797811508179,7,0,0,0
48,0,0,-1.89730310440063,10.7925138473511,-2.06493878364563,7,0,0,0
49,0,0,-1.89067053794861,11.0473537445068,-3.03189945220947,7,0,0,0
50,0,0,-1.88714730739594,11.1827230453491,-3.54554533958435,7,0,0,0
51,0,0,-2.13740372657776,-4.53081703186035,42.5006065368652,7,0,0,0
52,0,0,-2.12973260879517,-4.27597618103027,41.5336532592773,7,0,0,0
53,0,0,-2.12206149101257,-4.0211353302002,40.5666999816895,7,0,0,0
54,0,0,-2.11439037322998,-3.76629424095154,39.5997467041016,7,0,0,0
55,0,0,-2.10671925544739,-3.51145315170288,38.6327934265137,7,0,0,0
56,0,0,-2.09904789924622,-3.25661206245422,37.6658401489258,7,0,0,0
57,0,0,-2.09137678146362,-3.00177097320557,36.6988868713379,7,0,0,0
58,0,0,-2.08370542526245,-2.74692988395691,35.73193359375,7,0,0,0
59,0,0,-2.07603430747986,-2.49208879470825,34.7649803161621,7,0,0,0
60,0,0,-2.06836295127869,-2.23724770545959,33.7980270385742,7,0,0,0
61,0,0,-2.06069183349609,-1.98240661621094,32.8310737609863,7,0,0,0
62,0,0,-2.05302047729492,-1.72756552696228,31.8641204833984,7,0,0,0
63,0,0,-2.04534935951233,-1.47272431850433,30.8971672058105,7,0,0,0
64,0,0,-2.03767800331116,-1.21788311004639,29.9302139282227,7,0,0,0
65,0,0,-2.03000688552856,-0.96304190158844,28.9632606506348,7,0,0,0
66,0,0,-2.02233552932739,-0.708200693130493,27.9963073730469,7,0,0,0
67,0,0,-2.0146644115448,-0.453359425067902,27.029354095459,7,0,0,0
68,0,0,-2.00699305534363,-0.19851815700531,26.0624008178711,7,0,0,0
69,0,0,-1.99932181835175,0.0563232004642487,25.0954475402832,7,0,0,0
70,0,0,-1.99165058135986,0.311164617538452,24.1284942626953,7,0,0,0
