ID,LID,Width,Color,type,LinkID
351,351,0.15,W,0,4461
352,352,0.15,W,0,4465
353,353,0.15,W,0,4467
354,354,0.15,W,0,4468
355,355,0.15,W,0,4470
356,356,0.15,W,0,4472
357,357,0.15,W,0,4474
358,358,0.15,W,0,4476
359,359,0.15,W,0,4478
360,360,0.15,W,0,4480
361,361,0.15,W,0,4482
362,362,0.15,W,0,4483
363,363,0.15,W,0,4485
364,364,0.15,W,0,4487
365,365,0.15,W,0,4489
366,366,0.15,W,0,4490
367,367,0.15,W,0,4491
368,368,0.15,W,0,4493
369,369,0.15,W,0,4494
370,370,0.15,W,0,4496
371,371,0.15,W,0,4498
372,372,0.15,W,0,4500
373,373,0.15,W,0,4502
374,374,0.15,W,0,4503
375,375,0.15,W,0,4505
376,376,0.15,W,0,4508
377,377,0.15,W,0,4510
378,378,0.15,W,0,4512
379,379,0.15,W,0,4515
380,380,0.15,W,0,4516
381,381,0.15,W,0,4518
382,382,0.15,W,0,4519
383,383,0.15,W,0,4521
384,384,0.15,W,0,4524
385,385,0.15,W,0,4526
386,386,0.15,W,0,4528
387,387,0.15,W,0,4530
388,388,0.15,W,0,4532
389,389,0.15,W,0,4534
390,390,0.15,W,0,4536
391,391,0.15,W,0,4538
392,392,0.15,W,0,4540
393,393,0.15,W,0,4542
394,394,0.15,W,0,4542
395,395,0.15,W,0,4544
396,396,0.15,W,0,4547
397,397,0.15,W,0,4549
398,398,0.15,W,0,4550
399,399,0.15,W,0,4552
400,400,0.15,W,0,4554
401,401,0.15,W,0,4556
402,402,0.15,W,0,4558
403,403,0.15,W,0,4559
404,404,0.15,W,0,4561
405,405,0.15,W,0,4562
406,406,0.15,W,0,4563
407,407,0.15,W,0,4565
408,408,0.15,W,0,4568
409,409,0.15,W,0,4570
410,410,0.15,W,0,4572
411,411,0.15,W,0,4574
412,412,0.15,W,0,4576
413,413,0.15,W,0,4578
414,414,0.15,W,0,4579
415,415,0.15,W,0,4580
416,416,0.15,W,0,4582
417,417,0.15,W,0,4584
418,418,0.15,W,0,4585
419,419,0.15,W,0,4586
420,420,0.15,W,0,4588
421,421,0.15,W,0,4590
422,422,0.15,W,0,4592
423,423,0.15,W,0,4594
424,424,0.15,W,0,4594
425,425,0.15,W,0,4596
426,426,0.15,W,0,4599
427,427,0.15,W,0,4601
428,428,0.15,W,0,4601
429,429,0.15,W,0,4603
430,430,0.15,W,0,4605
431,431,0.15,W,0,4607
432,432,0.15,W,0,4609
433,433,0.15,W,0,4610
434,434,0.15,W,0,4612
435,435,0.15,W,0,4614
436,436,0.15,W,0,4615
437,437,0.15,W,0,4617
438,438,0.15,W,0,4617
439,439,0.15,W,0,4619
440,440,0.15,W,0,4621
