ID,LID,LinkID
539,7376,2825
540,7377,2825
541,7378,2824
542,7379,2824
543,7380,2824
544,7381,2823
545,7382,2822
546,7383,2821
547,7384,2817
548,7385,2811
549,7386,2804
550,7387,2798
551,7388,2791
552,7389,2785
553,7390,2780
554,7391,2774
555,7392,2767
556,7393,2761
557,7394,2754
558,7395,2749
559,7396,2742
560,7397,2736
561,7398,2732
562,7399,2729
563,7400,2723
564,7401,2717
565,7402,2711
566,7403,2707
567,7404,2701
568,7405,2693
569,7406,2687
570,7407,5685
571,7408,5685
572,7409,5649
573,7410,5649
574,7411,5648
575,7412,5647
576,7413,5646
577,7414,5646
578,7415,5645
579,7416,5644
580,7417,11314
581,7418,11314
582,7419,11314
583,7420,11315
584,7421,11315
585,7422,11315
586,7423,11316
587,7424,11317
588,7425,11320
589,7426,11324
590,7427,3
591,7428,7
592,7429,11
593,7430,15
594,7431,19
595,7432,23
596,7433,26
597,7434,32
598,7435,39
599,7436,42
600,7437,47
601,7438,52
602,7439,57
603,7440,60
604,7441,65
605,7442,70
606,7443,76
607,7444,83
608,7445,89
609,7446,92
610,7447,93
611,7448,94
612,7449,94
613,7450,95
614,7451,95
615,7452,95
616,7453,103
617,7454,103
618,7455,103
619,7456,104
620,7457,104
621,7458,105
622,7459,105
623,7460,109
624,7461,116
625,7462,127
626,7463,137
627,7464,147
628,7465,157
629,7466,166
630,7467,177
631,7468,187
632,7469,196
633,7470,206
634,7471,216
635,7472,226
636,7473,236
637,7474,242
638,7475,245
639,7476,245
640,7477,246
641,7478,246
642,7479,247
643,7480,248
644,7481,248
645,7482,249
646,7483,249
647,7484,250
648,7485,250
649,7486,251
650,7487,252
651,7488,11335
652,7489,11334
653,7490,11334
654,7491,11333
655,7492,11333
656,7493,11332
657,7494,11332
658,7495,11331
659,7496,11330
660,7497,11330
661,7498,11329
662,7499,11328
663,7500,11327
664,7501,2669
665,7502,2659
666,7503,2650
667,7504,2640
668,7505,2629
669,7506,2619
670,7507,2609
671,7508,2602
672,7509,2596
673,7510,2590
674,7511,2583
675,7512,2576
676,7513,2571
677,7514,2565
678,7515,2559
679,7516,2555
680,7517,2550
681,7518,2545
682,7519,2541
683,7520,2538
684,7521,2536
685,7522,2535
686,7523,2534
687,7524,2534
688,7525,2533
689,7526,2533
690,7527,2533
691,7528,2526
692,7529,2526
693,7530,2526
694,7531,2525
695,7532,2524
696,7533,2521
697,7534,2516
698,7535,2509
699,7536,2503
700,7537,2497
701,7538,2491
702,7539,2485
703,7540,2481
704,7541,2478
705,7542,2477
706,7543,2477
707,7544,2476
708,7545,2476
709,7546,2475
710,7547,2475
711,7548,2475
712,7549,2466
713,7550,2466
714,7551,2465
715,7552,2463
716,7553,2459
717,7554,2453
718,7555,2447
719,7556,2442
720,7557,2437
721,7558,2430
722,7559,2425
723,7560,2419
724,7561,2412
725,7562,2401
726,7563,2390
727,7564,2384
728,7565,2383
729,7566,2382
730,7567,2381
731,7568,2381
732,7569,2380
733,7570,2372
734,7571,2371
735,7572,2371
736,7573,2370
737,7574,2369
738,7575,2368
739,7576,2362
740,7577,2354
741,7578,2348
742,7579,2344
743,7580,2335
744,7581,2326
745,7582,2318
746,7583,2310
747,7584,2302
748,7585,2294
749,7586,2288
750,7587,2285
751,7588,2284
752,7589,2284
753,7590,2283
754,7591,2282
755,7592,2282
756,7593,2281
757,7594,2281
758,7595,2280
759,7596,2269
760,7597,2269
761,7598,2268
762,7599,2267
763,7600,2267
764,7601,2266
765,7602,2265
766,7603,2264
767,7604,2260
768,7605,2252
769,7606,2246
770,7607,2244
771,7608,2239
772,7609,2231
773,7610,2223
774,7611,2215
775,7612,2207
776,7613,2198
777,7614,2190
778,7615,2183
779,7616,2177
780,7617,2170
781,7618,2163
782,7619,2157
783,7620,2151
784,7621,2145
785,7622,2139
786,7623,2133
787,7624,2127
788,7625,2121
789,7626,2115
790,7627,2109
791,7628,2103
792,7629,2098
793,7630,2091
794,7631,2084
795,7632,2078
796,7633,2072
797,7634,2066
798,7635,2063
799,7636,2058
800,7637,2051
801,7638,2045
802,7639,2038
803,7640,2033
804,7641,2027
805,7642,2021
806,7643,2015
807,7644,2009
808,7645,2003
809,7646,1997
810,7647,1991
811,7648,1985
812,7649,1980
813,7650,1978
814,7651,1978
815,7652,1977
816,7653,1977
817,7654,1976
818,7655,1975
819,7656,1975
820,7657,1966
821,7658,1965
822,7659,1964
823,7660,1964
824,7661,1963
825,7662,1962
826,7663,1961
827,7664,1959
828,7665,1957
829,7666,1953
830,7667,1947
831,7668,1939
832,7669,1929
833,7670,1919
834,7671,1909
835,7672,1899
836,7673,1888
837,7674,1878
838,7675,1868
839,7676,1860
840,7677,1853
841,7678,1847
842,7679,1841
843,7680,1836
844,7681,1832
845,7682,1826
846,7683,1820
847,7684,1814
848,7685,1808
849,7686,1802
850,7687,1796
851,7688,1790
852,7689,1785
853,7690,1779
854,7691,1773
855,7692,1767
856,7693,1761
857,7694,1756
858,7695,1750
859,7696,1747
860,7697,1746
861,7698,1745
862,7699,1745
863,7700,1744
864,7701,1744
865,7702,1743
866,7703,1732
867,7704,1731
868,7705,1731
869,7706,1730
870,7707,1729
871,7708,1727
872,7709,1723
873,7710,1715
874,7711,1705
875,7712,1695
876,7713,1685
877,7714,1675
878,7715,1668
879,7716,1663
880,7717,1660
881,7718,1655
882,7719,1651
883,7720,1648
884,7721,1644
885,7722,1638
886,7723,1632
887,7724,1626
888,7725,1620
889,7726,1614
890,7727,1608
891,7728,1601
892,7729,1596
893,7730,1594
894,7731,1590
895,7732,1584
896,7733,1579
897,7734,1572
898,7735,1566
899,7736,1560
900,7737,1554
901,7738,1547
902,7739,1541
903,7740,1535
904,7741,1530
905,7742,1524
906,7743,1518
907,7744,1512
908,7745,1506
909,7746,1500
910,7747,1494
911,7748,1488
912,7749,1485
913,7750,1484
914,7751,1483
915,7752,1483
916,7753,1482
917,7754,1481
918,7755,1481
919,7756,1480
920,7757,1480
921,7758,1479
922,7759,1479
923,7760,1478
924,7761,1478
925,7762,1477
926,7763,1477
927,7764,1476
928,7765,1459
929,7766,1458
930,7767,1458
931,7768,1457
932,7769,1455
933,7770,1453
934,7771,1452
935,7772,1451
936,7773,1449
937,7774,1446
938,7775,1443
939,7776,1442
940,7777,1441
941,7778,1439
942,7779,1437
943,7780,1435
944,7781,1433
945,7782,1431
946,7783,1429
947,7784,1427
948,7785,1425
949,7786,1423
950,7787,1421
951,7788,1419
952,7789,1417
953,7790,1415
954,7791,1413
955,7792,1410
956,7793,1407
957,7794,1405
958,7795,1403
959,7796,1401
960,7797,1398
961,7798,1396
962,7799,1394
963,7800,1392
964,7801,1390
965,7802,1389
966,7803,1387
967,7804,1385
968,7805,1383
969,7806,1381
970,7807,1379
971,7808,1378
972,7809,1376
973,7810,1373
974,7811,1371
975,7812,1369
976,7813,1367
977,7814,1365
978,7815,1363
979,7816,1361
980,7817,1359
981,7818,1357
982,7819,1355
983,7820,1353
984,7821,1351
985,7822,1349
986,7823,1347
987,7824,1345
988,7825,1343
989,7826,1341
990,7827,1339
991,7828,1337
992,7829,1335
993,7830,1332
994,7831,1329
995,7832,1327
996,7833,1324
997,7834,1320
998,7835,1318
999,7836,1315
1000,7837,1313
1001,7838,1310
1002,7839,1307
1003,7840,1305
1004,7841,1302
1005,7842,1300
1006,7843,1298
1007,7844,1296
1008,7845,1294
1009,7846,1292
1010,7847,1290
1011,7848,1288
1012,7849,1286
1013,7850,1284
1014,7851,1282
1015,7852,1280
1016,7853,1279
1017,7854,1276
1018,7855,1273
1019,7856,1269
1020,7857,1266
1021,7858,1264
1022,7859,1262
1023,7860,1260
1024,7861,1259
1025,7862,1256
1026,7863,1254
1027,7864,1252
1028,7865,1250
1029,7866,1248
1030,7867,1246
1031,7868,1245
1032,7869,1242
1033,7870,1240
1034,7871,1236
1035,7872,1232
1036,7873,1230
1037,7874,1227
1038,7875,1224
1039,7876,1223
1040,7877,1221
1041,7878,1219
1042,7879,1217
1043,7880,1215
1044,7881,1213
1045,7882,1210
1046,7883,1208
1047,7884,1206
1048,7885,1204
1049,7886,1203
1050,7887,1201
1051,7888,1199
1052,7889,1197
1053,7890,1195
1054,7891,1193
1055,7892,1190
1056,7893,1188
1057,7894,1186
1058,7895,1184
1059,7896,1182
1060,7897,1180
1061,7898,1178
1062,7899,1176
1063,7900,1174
1064,7901,1172
1065,7902,1170
1066,7903,1168
1067,7904,1166
1068,7905,1164
1069,7906,1162
1070,7907,1160
1071,7908,1158
1072,7909,1156
1073,7910,1153
1074,7911,1151
1075,7912,1149
1076,7913,1147
1077,7914,1145
1078,7915,1143
1079,7916,1141
1080,7917,1139
1081,7918,1137
1082,7919,1135
1083,7920,1133
1084,7921,1131
1085,7922,1129
1086,7923,1127
1087,7924,1125
1088,7925,1123
1089,7926,1121
1090,7927,1119
1091,7928,1119
1092,7929,1118
1093,7930,1118
1094,7931,1118
1095,7932,1117
1096,7933,1117
1097,7934,1116
1098,7935,1106
1099,7936,1106
1100,7937,1106
1101,7938,1105
1102,7939,1105
1103,7940,1105
1104,7941,1104
1105,7942,1103
1106,7943,1102
1107,7944,1101
1108,7945,1098
1109,7946,1095
1110,7947,1093
1111,7948,1091
