ID,LID,Width,Color,type,LinkID
304,579,0.15,W,0,6685
305,580,0.15,W,0,6689
306,584,0.15,W,0,8303
307,585,0.15,W,0,8296
308,586,0.15,W,0,8291
309,587,0.15,W,0,6843
310,588,0.15,W,0,6850
311,589,0.15,W,0,1174
312,603,0.15,W,0,7496
313,604,0.15,W,0,7570
314,605,0.15,W,0,7287
315,619,0.15,W,0,7636
316,620,0.15,W,0,7644
317,621,0.15,W,0,7655
318,708,0.15,W,0,1728
319,709,0.15,W,0,1731
320,710,0.15,W,0,9847
321,714,0.15,Y,0,8982
322,715,0.15,Y,0,8996
323,716,0.15,Y,0,8945
324,722,0.15,Y,0,9024
325,723,0.15,Y,0,9021
326,724,0.15,Y,0,8926
327,743,0.15,W,0,9463
328,744,0.15,W,0,9528
329,824,0.15,Y,0,10316
330,825,0.15,Y,0,10372
331,826,0.15,Y,0,10377
332,827,0.15,Y,0,10343
333,828,0.15,Y,0,10348
334,847,0.15,Y,0,10684
335,848,0.15,Y,0,10687
336,849,0.15,Y,0,10691
337,857,0.15,W,0,10696
338,858,0.15,W,0,10758
339,859,0.15,W,0,10785
340,860,0.15,W,0,10782
341,861,0.15,W,0,10773
